id,Title,tags
1233,10 Things I Hate About You,"on the first day at hi new school, cameron instantli fall for bianca, the gorgeou girl of hi dreams. the onli problem is that bianca is forbidden to date until her ill-tempered, complet un-dat older sister kat goe out, too. in an attempt to solv hi problem, cameron singl out the onli guy who could possibl be a match for kat: a mysteri bad boy with a nasti reput of hi own. comedi romanc drama"
1234,Transporter 3,"frank martin put the drive glove on to deliv valentina, the kidnap daughter of a ukranian govern official, from marseil to odessa on the black sea. en route, he ha to contend with thug who want to intercept valentina' safe deliveri and not let hi person feel get in the way of hi danger objective. action adventur thriller crime"
1235,Carnaval,"after a breakup, an influenc take her friend on a free trip to bahia' vibrant carnival, where she learn life' not just about social media likes. comedi"
1236,Stuart Little 2,"stuart, an ador white mouse, still live happili with hi adopt family, the littles, on the east side of manhattan' central park. more crazi mous adventur are in store as stuart, hi human brother, george, and their mischiev cat, snowbell, set out to rescu a friend. famili adventur anim comedi"
1237,The Ring,"it sound like just anoth urban legend: a videotap fill with nightmarish images, lead to a phone call foretel the viewer' death in exactli seven days. as a newspap reporter, rachel keller wa natur skeptic of the story, until four teenag all met with mysteri death exactli one week after watch just such a tape. allow her investig curios to get the better of her, rachel track down the video... and watch it. now she ha just seven day to unravel the mysteri of the ring. horror mysteri"
1238,Olaf's Frozen Adventure,"olaf is on a mission to har the best holiday tradit for anna, elsa, and kristoff. anim famili adventur comedi fantasi"
1239,Jason X,"in the year 2455, old earth is now a contamin planet abandon for centuri -- a brown world of violent storms, toxic landmass and poison seas. yet human have return to the deadli place that they onc fled, not to live, but to research the ancient, rust artifact of the long-gon civilizations. but it' not the harm environ that could prove fatal to the intrepid, young explor who have just land on old earth. for them, it' friday the 13th, and jason lives! horror sciencefict"
1240,Ghost Lab,"after wit a haunt in their hospital, two doctor becom danger obsess with obtain scientif proof that ghost exist. drama horror sciencefict thriller"
1241,Warm Bodies,"after a zombi becom involv with the girlfriend of one of hi victims, their romanc set in motion a sequenc of event that might transform the entir lifeless world. horror comedi romanc"
1242,A Naija Christmas,three son tri to make their motherâ€™ dream come true by bring home wive for christmas. comedi romanc
1243,Better Days,"a bulli teenag girl form an unlik friendship with a mysteri young man who protect her from her assailants, while she cope with the pressur of her final examinations. drama"
1244,Porco Rosso,"in itali in the 1930s, sky pirat in biplan terror wealthi cruis ship as they sail the adriat sea. the onli pilot brave enough to stop the scourg is the mysteri porco rosso, a former world war i fli ace who wa somehow turn into a pig dure the war. as he prepar to battl the pirat crew' american ace, porco rosso enlist the help of spunki girl mechan fio piccolo and hi longtim friend madam gina. famili comedi anim adventur"
1245,The Butterfly Effect,"a young man struggl to access sublim childhood memories. he find a techniqu that allow him to travel back into the past, to occupi hi childhood bodi and chang history. however, he soon find that everi chang he make ha unexpect consequences. sciencefict thriller"
1246,The Raid 2,"after fight hi way through an apart build popul by an armi of danger crimin and escap with hi life, swat team member rama goe undercover, join a power indonesian crime syndic to protect hi famili and uncov corrupt member of hi own force. action crime thriller"
1247,This Is the End,"while attend a parti at jame franco' house, seth rogen, jay baruchel and mani other celebr are face with the apocalypse. action comedi"
1248,Scott Pilgrim vs. the World,"as bass guitarist for a garage-rock band, scott pilgrim ha never had troubl get a girlfriend; usually, the problem is get rid of them. but when ramona flower skate into hi heart, he find she ha the most troublesom baggag of all: an armi of ex-boyfriend who will stop at noth to elimin him from her list of suitors. action comedi fantasi romanc"
1249,A Christmas Carol,"miser ebenez scroog is awaken on christma eve by spirit who reveal to him hi own miser existence, what opportun he wast in hi youth, hi current cruelties, and the dire fate that await him if he doe not chang hi ways. scroog is face with hi own stori of grow bitter and meanness, and must decid what hi own futur will hold: death or redemption. anim famili drama fantasi"
1250,Jack and Jill,"jack sadelstein, a success advertis execut in lo angel with a beauti wife and kids, dread one event each year: the thanksgiv visit of hi twin sister jill. jill' needi and passive-aggress is madden to jack, turn hi normal tranquil life upsid down. comedi"
1251,St. Vincent,"a young boy whose parent just divorc find an unlik friend and mentor in the misanthropic, bawdy, hedonistic, war veteran who live next door. comedi"
1252,Blue Lagoon: The Awakening,two high school student becom strand on a tropic island and must reli on each other for survival. they learn more about themselv and each other while fall in love. drama adventur romanc tvmovi
1253,The Return of the Living Dead,"when foreman frank show new employe freddi a secret militari experi in a suppli warehous in louisville, kentucky, the two klutz accident releas a ga that reanim corps into flesh-eat zombies. as the epidem spread throughout the town, and the creatur satisfi their hunger in gori and outlandish ways, frank and freddi fight to surviv with the help of their boss and a mysteri mortician. comedi horror"
1254,Life As We Know It,"after a distastr first date for cater holli and network sport director messer, all they have is common is a dislik for each other and their love for their goddaught sophie. but when they suddenli becom all sophi ha in thi world, holli and messer must set their differ aside. juggl career and social calendars, they'll have to find common ground while live under the same roof. comedi romanc drama"
